id,Nival,Upper alpine,Lower alpine,Upper montane,Lower montane,Mountain with frost,Mountain without frost
Chagai Hills,0,0,0,0,0,0,0
Changbai Shan,0,0,157,1280,26600,0,0
Changhai Shan,0,0,0,584,181000,0,0
Chatkal'skiy Khrebet,90,336,538,2740,46800,224000,0
Chin Hills,0,0,0,298,51000,419000,1740000
China-01,0,0,0,0,2780000,4860000,147000
China-02,0,0,0,0,156000,960000,2860
China-03,0,0,0,0,436000,1310000,2500000
Chola Shan,179,77,13100,30900,51,0,0
Chugoku-sanchi,0,0,0,0,1240000,460000,0
Chukotskiy (Anadyrskiy) Khrebet,69,47,0,0,0,0,0
Chulyshmunskiy Khrebet,0,0,0,745,495,0,0
Chungyang Shan,0,0,0,1540,5020,0,278000
Chuor Phnum Kravanh,0,0,0,0,0,0,20200
Chuvanskiye Gory,0,0,38,0,0,0,0
Cordillera Central,0,0,0,0,5830,0,886000
Cordillera Range,0,0,0,0,0,0,226000
Cosan Daglari,0,0,0,69,75800,0,0
Croker Range,0,0,0,60,240,0,252000
Daba Shan,0,0,0,668,2320000,2490000,0
Daban Shan,0,0,5580,103000,138000,0,0
Dabei Shan,0,0,0,0,453000,1150000,0
Dahei Shan,0,0,0,414,1070,0,0
Daiyun Shan,0,0,0,0,1060,234000,4840000
Dalou Shan,0,0,0,0,1330000,2820000,117000
Damaqun Shan,0,0,0,0,171000,110000,0
Danghe Nanshan,0,0,357,166,0,0,0
Daqing Shan,0,0,0,0,96100,571,0
Datong Shan,0,237,9190,63700,2490,0,0
Dawna Range,0,0,0,0,0,0,91800
Daxue Shan,2170,1710,85100,314000,137000,62500,0
Dayao Shan,0,0,0,0,27,11000,328000
Dayu Ling,0,0,0,0,0,15000,5790
Dedegoel Dag,0,0,0,95,2650,0,0
Delyun Uranskiy Khrebet,0,0,526,1950,0,0,0
Diuat Mountains,0,0,0,0,0,0,427000
Doganli Daglari,0,0,0,524,38000,0,0
Domanic Dagi,0,0,0,763,5570,0,0
Donggan,0,0,0,0,399000,4100000,1400000
Dulit Range,0,0,0,0,0,0,1560
Dupang Ling,0,0,0,0,953,117000,13000
Eastern Ghat,0,0,0,0,0,0,1790000
Egrigoez Dagi,0,0,0,0,8010,0,0
Ekiatapskiy Khrebet,0,0,0,0,0,0,0
Emei Shan,0,0,0,2150,9100,56700,0
Erciyas Dagi,0,0,0,1980,629000,0,0
Eren Habirga Shan,0,0,775,2900,0,0,0
Erenler Dagi,0,0,0,0,2310,0,0
Esh Shara,0,0,0,0,9860,58400,5200
Fangdou Shan,0,0,0,0,1480000,1180000,2300
Ferganskiy Khrebet,0,0,92,2200,51500,25100,0
Finisterre Range,0,0,0,0,3780,0,50500
Funiu Shan,0,0,0,0,632000,175000,0
Gamshadzai Kueh,0,0,0,0,0,106,0
Gangaw Range,0,0,0,0,0,0,1480
Gangdise Shan,701,1430,5100,691,0,0,0
Gaoligong Shan,0,0,0,34900,94500,317000,65800
Gavur Daglari Black Sea,0,0,0,3280,16300,0,0
Gavur Daglari Mediterranean Sea,0,0,0,0,30500,155000,20400
Gichgeniyn Nuruu,0,0,0,0,0,0,0
Gissarskiy Khrebet,1500,374,1120,4350,380000,22500,0
Goelgel Dagi,0,0,0,38500,1520000,518000,1810
Gongwan Shan,0,0,0,15,0,0,0
Gornostakhskiy Khrebet,94,259,259,1040,46200,47,0
Gory Baysun Tau,172,85,127,54,0,0,0
Gory Putorana,44,89,2470,22000,446000,0,0
Greater Caucasus,0,0,0,0,10000,248000,0
Guiji Shan,0,0,0,0,29200,25600,0
Haanhoehiy Uul,0,0,0,2020,171000,485000,254000
Hacres Daglari,0,0,0,29300,701000,1870000,295000
Haian Shan,0,0,5760,119000,507000,1530000,869000
Hakkari Daglari,0,0,872,440000,1590000,1270000,5840
Hama Dag,0,0,0,26800,696,0,0
Hamgyong-Sanmaek,0,0,0,0,5770,11400,0
Hangayn Nuruu,0,0,0,0,0,0,13400
Hazaribagh Range,0,0,0,7050,35900,5690,0
Hejaz Mountains,0,0,0,0,27600,0,0
Helan Shan,0,0,22,22200,595000,7390,0
Heng Shan,0,0,0,0,0,0,0
Hengduan Shan,0,0,0,0,0,0,179000
Hentiyn Nuruu,0,0,0,0,0,1420,60800
Hidaka-sanmyaku,0,0,0,94,27100,2100,0
Himalaya,0,0,0,442,92500,12500,0
Hindu Kush,0,0,8200,54700,464000,181000,866
HKH-01,0,0,0,81,4480,0,0
HKH-02,0,0,0,22,8780,0,0
HKH-03,7950,45800,253000,1570000,6810000,13800000,11500000
HKH-04,77600,25500,63800,559000,6620000,1960000,1160
Hoerh Uul,0,0,690,2290,491,0,0
Horo Shan,0,0,0,0,0,0,7740
Hose Mountains,0,0,0,3700,3320,0,1030000
Hsuen Shan,0,0,0,0,6540,409000,118000
Huaying Shan,0,0,0,0,0,0,0
Ichigemskiy Khrebet,0,0,0,0,0,0,0
Ih Bogd Uul,0,0,0,0,0,0,0
Ikatskiy Khrebet,0,0,0,810,18,0,0
Ilgaz Dalgari,0,0,0,182,104000,0,0
Iri Dagh,0,0,0,70,21500,212,0
Ispiriz Daglari,0,0,0,213,27800,5760,0
Ivanovskiey Khrebet,0,0,19,1160,2500,0,0
Jabal an Nusayriyah,0,0,0,0,0,0,110
Jabal Tuwayq,0,0,0,0,12500,380000,30200
Japanese Alps,0,0,97,170,1220000,324000,0
Javadi Hills,0,0,0,0,0,0,263000
Jebel esh Sharqi,0,0,0,1570,284000,170000,489000
Jebel Liban,0,0,0,25,483000,660000,50500
Jing Shan,0,0,0,0,87500,24800,0
Jingping Shan,0,0,6000,32400,8330,1520,0
Jiri Massif,0,0,0,0,101000,144000,0
Jiulian Shan,0,0,0,0,0,19400,46600
Jiuling Shan,0,0,0,0,39900,516000,0
Jundu Shan,0,0,0,0,985,196000,0
Kabir Kueh,0,0,0,0,830,3200,0
Kacha Kuh,0,0,0,0,0,0,0
Kangnam Mountains,0,0,0,0,466000,237000,0
Karakorum,829,3140,28600,54100,251000,30200,0
Kargapazari Daglari,0,0,0,1680,76200,0,0
Karincali Dagi,0,0,0,0,882,38400,0
